"Agrupamiento","Categoría","Proveedor","Cod. Barras","Producto","Costo","FactorMin","PrecioMin","FactorMay","PrecioMay","Stock","Activo"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","12-14","$1.00","5.00%","$5.00","5.00%","$5.00","13","Si"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","14-16","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","10-12","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","BANDA 7MM","ImbelloniR12","","10-16","$1.00","5.00%","$5.00","5.00%","$5.00","18","Si"
"ABRAZADERAS","CIERRE RAPIDO","ImbelloniR12","","10-20","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","11-13","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","1222","12-22","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","BANDA 7MM","ImbelloniR12","","12-22","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","13-15","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","15-18","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","","16-27","$1.00","5.00%","$5.00","5.00%","$5.00","9","Si"
"ABRAZADERAS","CIERRE RAPIDO","ImbelloniR12","","17-28","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","","23-35","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","CIERRE RAPIDO","ImbelloniR12","","25-35","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","","30-45","$1.00","5.00%","$5.00","5.00%","$5.00","22","Si"
"ABRAZADERAS","CIERRE RAPIDO","ImbelloniR12","","32-44","$1.00","5.00%","$5.00","5.00%","$5.00","8","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","","32-50","$1.00","5.00%","$5.00","5.00%","$5.00","17","Si"
"ABRAZADERAS","CIERRE RAPIDO","ImbelloniR12","","40-52","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","","40-60","$1.00","5.00%","$5.00","5.00%","$5.00","11","Si"
"ABRAZADERAS","CIERRE RAPIDO","ImbelloniR12","","48-62","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","","50-70","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","CIERRE RAPIDO","ImbelloniR12","","58-72","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA 9MM","ImbelloniR12","810","8-10","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","8-10","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","BANDA 7MM","ImbelloniR12","","8-12","$1.00","5.00%","$5.00","5.00%","$5.00","13","Si"
"ABRAZADERAS","TORNILLOS Y TUERCAS","ImbelloniR12","","9-11","$1.00","5.00%","$5.00","5.00%","$5.00","12","Si"
"ABRAZADERAS","BANDA ESTAMPADA 12MM","ImbelloniR12","","REFORZADA 12-22","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA ESTAMPADA 12MM","ImbelloniR12","","REFORZADA 16-27","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA ESTAMPADA 12MM","ImbelloniR12","","REFORZADA 23-35","$1.00","5.00%","$5.00","5.00%","$5.00","6","Si"
"ABRAZADERAS","BANDA ESTAMPADA 12MM","ImbelloniR12","","REFORZADA 30-45","$1.00","5.00%","$5.00","5.00%","$5.00","18","Si"
"ABRAZADERAS","BANDA ESTAMPADA 12MM","ImbelloniR12","","REFORZADA 32-50","$1.00","5.00%","$5.00","5.00%","$5.00","11","Si"
"ABRAZADERAS","BANDA ESTAMPADA 12MM","ImbelloniR12","","REFORZADA 40-60","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ABRAZADERAS","BANDA ESTAMPADA 12MM","ImbelloniR12","","REFORZADA 50-70","$1.00","5.00%","$5.00","5.00%","$5.00","9","Si"
"ACCESORIOS","FICHAS","","","1 POLO ARAÑA CON MASA PLASTICO  1250-ORO 1250'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","1211","1 POLO ARAÑA FORD-IKA 1211-ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","","","1 POLO ARAÑA METAL 1211-ORO 1211'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","1205","1 POLO ARAÑA MIGNON 1205-ORO 1205'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","1212","2 POLOS ARAÑA  1212-ORO 1212'ORO","$1.00","5.00%","$5.00","5.00%","$5.00","10","Si"
"ACCESORIOS","ARRANCA MOTOR","","7798058467601","ARRANCA MOTORES LX91266 419 ML  0001","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","SELECTORA","ImbelloniR12","007535","CONJUNTO REPARACION SELECTORA AP 7535","$1.00","5.00%","$5.00","5.00%","$5.00","2","Si"
"ACCESORIOS","FICHAS","ImbelloniR12","","CONTACTOR  FALCON F100 7244-DOG","$48500.00","5.00%","$50930.00","5.00%","$50930.00","3","Si"
"ACCESORIOS","FICHAS","","","CONTACTOR 13044","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","FICHAS","","","CONTACTOR 4222-ORO","$1.00","5.00%","$5.00","5.00%","$5.00","0","Si"
"ACCESORIOS","FICHAS","","","CORREA 13A0725C","$1.00","5.00%","$5.00","5.00%","$5.00","1","Si"
"ACCESORIOS","LIMPIAPARABRISAS","","110","ESCOBILLA 11""","$0.00","5.00%","$0.00","5.00%","$0.00","0","Si"
"ACCESORIOS","LIMPIAPARABRISAS","","130","ESCOBILLA 13""","$0.00","5.00%","$0.00","5.00%","$0.00","0","Si"
"ACCESORIOS","LIMPIAPARABRISAS","ImbelloniR12","160","ESCOBILLA 16""","$0.00","5.00%","$0.00","5.00%","$0.00","2","Si"
